ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,Oklahoma,DOM: Litter,127649.69057440758
74,1,2001,Oklahoma,DOM: Soil,793560.7032179832
74,1,2001,Oklahoma,DOM: Standing Deadwood,636.640000706393
74,1,2001,Oklahoma,DOM: Down Deadwood,38530.179876089096
74,1,2001,Wyoming,Atmosphere: CH4 [Type],0
74,1,2001,Wyoming,Atmosphere: CO2 [Type],0
74,1,2001,Wyoming,Atmosphere: CO [Type],0
74,1,2001,Wyoming,Biomass: Coarse Root [Type],33886269.40238681
74,1,2001,Wyoming,Biomass: Fine Root [Type],6924922.686679568
74,1,2001,Wyoming,Biomass: Foliage [Type],16087229.876990803
74,1,2001,Wyoming,Biomass: Merchantable [Type],101834700.06548908
74,1,2001,Wyoming,Biomass: Other Wood [Type],62559704.682586715
74,1,2001,Wyoming,DOM: Aboveground Fast [Type],35481118.0786252
74,1,2001,Wyoming,DOM: Aboveground Medium [Type],36959492.14966297
74,1,2001,Wyoming,DOM: Aboveground Slow [Type],123237387.79592514
74,1,2001,Wyoming,DOM: Aboveground Very Fast [Type],17330329.212014377
74,1,2001,Wyoming,DOM: Belowground Fast [Type],6599266.872633994
74,1,2001,Wyoming,DOM: Belowground Slow [Type],368607712.81166077
74,1,2001,Wyoming,DOM: Belowground Very Fast [Type],4357322.742926329
74,1,2001,Wyoming,DOM: Black Carbon [Type],0
74,1,2001,Wyoming,DOM: Snag Branch [Type],3982355.7353852433
74,1,2001,Wyoming,DOM: Snag Stem [Type],11880164.678774873
74,1,2001,Wyoming,Forestry Sector [Type],0
74,1,2001,Wyoming,Atmosphere [Type],0
74,1,2001,Wyoming,Black Carbon [Type],0
74,1,2001,Wyoming,Peat [Type],0
74,1,2001,Wyoming,Biomass: Aboveground,180481634.6250666
74,1,2001,Wyoming,Biomass: Belowground,40811192.08906637
74,1,2001,Wyoming,Biomass: Total,221292826.71413296
74,1,2001,Wyoming,DOM: Aboveground,15862520.414160118
74,1,2001,Wyoming,DOM: Belowground,592572629.6634488
74,1,2001,Wyoming,DOM: Total,608435150.0776088
74,1,2001,Wyoming,Total Ecosystem,829727976.7917418
74,1,2001,Wyoming,DOM: Deadwood,59421279.43645708
74,1,2001,Wyoming,DOM: Litter,52811447.29063958
